City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
Khandyga,62.67,135.6,13.59,86,98,2.1,RU,2020-10-26 20:27:49,overcast clouds
Derzhavinsk,51.1,66.32,35.35,90,100,21.39,KZ,2020-10-26 20:27:49,overcast clouds
Bangassou,4.74,22.82,69.71,90,100,2.3,CF,2020-10-26 20:27:49,overcast clouds
Methoni,36.82,21.7,64.99,82,0,4.7,GR,2020-10-26 20:27:50,clear sky
Rikitea,-23.12,-134.97,75.34,85,100,19.24,PF,2020-10-26 20:27:50,light rain
Kavaratti,10.57,72.64,82.42,72,81,7.0,IN,2020-10-26 20:27:50,broken clouds
Miandrivazo,-19.52,45.47,78.82,62,0,5.66,MG,2020-10-26 20:27:50,clear sky
Cherskiy,68.75,161.3,4.68,93,42,5.84,RU,2020-10-26 20:27:50,scattered clouds
Albany,42.6,-73.97,48.99,83,100,1.01,US,2020-10-26 20:27:51,light rain
Port Hedland,-20.32,118.57,68.0,94,65,8.81,AU,2020-10-26 20:27:51,broken clouds
Yellowknife,62.46,-114.35,25.0,62,75,5.82,CA,2020-10-26 20:27:51,broken clouds
Provideniya,64.38,-173.3,30.2,74,90,0.74,RU,2020-10-26 20:27:51,overcast clouds
Kaitangata,-46.28,169.85,52.0,81,99,4.0,NZ,2020-10-26 20:27:52,overcast clouds
Hirara,24.8,125.28,76.62,70,94,15.95,JP,2020-10-26 20:27:52,overcast clouds
Kruisfontein,-34.0,24.73,64.0,92,100,7.0,ZA,2020-10-26 20:27:52,overcast clouds
Castro,-24.79,-50.01,72.09,70,100,7.16,BR,2020-10-26 20:23:31,overcast clouds
Chicama,-7.84,-79.15,64.4,82,75,13.87,PE,2020-10-26 20:27:52,broken clouds
Lebu,-37.62,-73.65,54.01,71,100,8.61,CL,2020-10-26 20:27:52,overcast clouds
Guadalajara,20.67,-103.33,88.0,23,40,0.83,MX,2020-10-26 20:25:50,scattered clouds
Strezhevoy,60.73,77.59,26.6,86,90,15.66,RU,2020-10-26 20:27:53,overcast clouds
Punta Arenas,-53.15,-70.92,53.6,40,20,35.57,CL,2020-10-26 20:24:22,few clouds
Akureyri,65.68,-18.09,37.4,69,90,5.82,IS,2020-10-26 20:27:53,overcast clouds
Souillac,-20.52,57.52,73.4,73,40,10.29,MU,2020-10-26 20:27:53,scattered clouds
Rawson,-43.3,-65.1,71.13,29,100,17.83,AR,2020-10-26 20:27:54,overcast clouds
Podyuga,61.09,40.86,31.23,95,98,8.23,RU,2020-10-26 20:27:54,overcast clouds
Chuy,-33.7,-53.46,58.53,92,100,16.96,UY,2020-10-26 20:27:54,light rain
Mangrol,21.12,70.12,82.18,63,0,1.72,IN,2020-10-26 20:27:54,clear sky
Hithadhoo,-0.6,73.08,83.16,66,17,6.53,MV,2020-10-26 20:27:54,few clouds
Inuvik,68.35,-133.72,10.4,78,90,10.29,CA,2020-10-26 20:27:55,overcast clouds
Upernavik,72.79,-56.15,17.51,80,98,4.47,GL,2020-10-26 20:27:55,overcast clouds
Inhambane,-23.86,35.38,75.2,88,20,3.36,MZ,2020-10-26 20:27:55,few clouds
Uvinza,-5.1,30.39,69.4,85,62,1.07,TZ,2020-10-26 20:27:55,broken clouds
Luderitz,-26.65,15.16,62.1,71,0,16.71,NA,2020-10-26 20:27:55,clear sky
Lavrentiya,65.58,-171.0,30.34,92,20,5.57,RU,2020-10-26 20:27:56,few clouds
Salalah,17.02,54.09,77.0,61,0,2.24,OM,2020-10-26 20:27:56,clear sky
Jamestown,42.1,-79.24,46.99,100,90,6.13,US,2020-10-26 20:27:56,mist
Bluff,-46.6,168.33,52.0,86,89,1.79,NZ,2020-10-26 20:27:57,overcast clouds
Busselton,-33.65,115.33,55.0,77,25,7.83,AU,2020-10-26 20:27:57,scattered clouds
Puerto Ayora,-0.74,-90.35,73.4,69,20,18.34,EC,2020-10-26 20:27:57,few clouds
Kodiak,57.79,-152.41,50.0,46,40,16.11,US,2020-10-26 20:23:57,scattered clouds
Jinxiang,27.43,120.61,63.5,85,15,7.0,CN,2020-10-26 20:27:58,few clouds
Sidi Ali,36.1,0.42,59.14,69,0,10.8,DZ,2020-10-26 20:27:58,clear sky
Atuona,-9.8,-139.03,78.91,76,86,19.69,PF,2020-10-26 20:27:58,light rain
Port Alfred,-33.59,26.89,65.79,82,100,28.01,ZA,2020-10-26 20:27:58,overcast clouds
Saint George,37.1,-113.58,48.99,15,1,25.28,US,2020-10-26 20:26:02,clear sky
Port Elizabeth,-33.92,25.57,64.4,88,98,19.46,ZA,2020-10-26 20:27:59,overcast clouds
Nyrob,60.73,56.72,21.09,95,0,8.75,RU,2020-10-26 20:27:59,clear sky
Kapaa,22.08,-159.32,84.2,70,40,5.82,US,2020-10-26 20:27:59,scattered clouds
Den Helder,52.96,4.76,50.0,87,90,9.17,NL,2020-10-26 20:27:59,light rain
Pevek,69.7,170.31,23.77,94,98,11.45,RU,2020-10-26 20:28:00,overcast clouds
Bethel,41.37,-73.41,54.0,87,90,4.7,US,2020-10-26 20:28:00,overcast clouds
Saint-Augustin,51.23,-58.65,36.46,66,93,10.31,CA,2020-10-26 20:28:00,overcast clouds
Carnarvon,-24.87,113.63,68.0,82,0,19.46,AU,2020-10-26 20:28:00,clear sky
Necochea,-38.55,-58.74,62.08,51,0,4.38,AR,2020-10-26 20:28:01,clear sky
Hasaki,35.73,140.83,51.8,93,75,5.82,JP,2020-10-26 20:28:01,broken clouds
Rio Gallegos,-51.62,-69.22,62.6,77,20,28.86,AR,2020-10-26 20:28:01,few clouds
Quthing,-30.4,27.7,65.79,51,92,2.39,LS,2020-10-26 20:28:01,light rain
Mahebourg,-20.41,57.7,73.4,73,40,10.29,MU,2020-10-26 20:28:01,scattered clouds
Ahipara,-35.17,173.17,63.97,86,20,4.16,NZ,2020-10-26 20:28:02,few clouds
Moses Lake,47.13,-119.28,37.99,40,1,2.08,US,2020-10-26 20:28:02,clear sky
Ushuaia,-54.8,-68.3,51.8,62,40,12.75,AR,2020-10-26 20:26:53,scattered clouds
Bengkulu,-3.8,102.27,74.62,85,100,3.91,ID,2020-10-26 20:28:02,overcast clouds
Daimiel,39.07,-3.62,48.99,70,0,5.82,ES,2020-10-26 20:28:02,clear sky
Victoria,22.29,114.16,75.0,79,75,1.99,HK,2020-10-26 20:24:54,broken clouds
Kahului,20.89,-156.47,87.8,52,20,5.82,US,2020-10-26 20:25:00,few clouds
Huixtla,15.15,-92.47,86.0,79,40,4.0,MX,2020-10-26 20:28:03,scattered clouds
Norsup,-16.07,167.38,77.0,88,75,6.93,VU,2020-10-26 20:28:04,light intensity shower rain
Cidreira,-30.18,-50.21,69.28,92,100,6.96,BR,2020-10-26 20:28:04,moderate rain
Hilo,19.73,-155.09,78.01,83,90,4.7,US,2020-10-26 20:27:50,overcast clouds
Mataura,-46.19,168.86,52.0,86,92,1.66,NZ,2020-10-26 20:28:05,overcast clouds
Barrow,71.29,-156.79,19.4,85,90,5.82,US,2020-10-26 20:28:06,overcast clouds
Thompson,55.74,-97.86,30.2,50,40,12.75,CA,2020-10-26 20:26:28,scattered clouds
Esperance,-33.87,121.9,53.6,93,0,5.82,AU,2020-10-26 20:28:07,clear sky
Okato,-39.2,173.88,63.0,82,93,8.99,NZ,2020-10-26 20:28:07,moderate rain
Norman Wells,65.28,-126.83,24.8,85,90,21.92,CA,2020-10-26 20:28:08,light snow
Baloda,22.15,82.48,70.18,65,1,3.04,IN,2020-10-26 20:28:08,clear sky
Gigmoto,13.78,124.39,79.34,80,100,5.03,PH,2020-10-26 20:28:08,light rain
Ajdabiya,30.76,20.23,71.4,69,0,6.22,LY,2020-10-26 20:28:09,clear sky
Clyde River,70.47,-68.59,15.8,72,90,12.75,CA,2020-10-26 20:28:09,overcast clouds
Codrington,-38.27,141.97,47.52,79,68,12.08,AU,2020-10-26 20:28:09,broken clouds
Vestmannaeyjar,63.44,-20.27,43.27,76,100,26.49,IS,2020-10-26 20:28:10,overcast clouds
Chokurdakh,70.63,147.92,9.14,96,100,12.46,RU,2020-10-26 20:24:07,light snow
Posse,-14.09,-46.37,85.21,47,95,5.44,BR,2020-10-26 20:28:10,overcast clouds
Progreso,21.28,-89.67,84.2,83,75,11.41,MX,2020-10-26 20:28:11,light rain
Itupiranga,-5.13,-49.33,95.0,50,20,4.7,BR,2020-10-26 20:28:11,few clouds
Port Moresby,-9.44,147.18,75.85,91,100,3.47,PG,2020-10-26 20:28:11,light rain
Tuktoyaktuk,69.45,-133.04,8.6,84,75,11.41,CA,2020-10-26 20:26:02,broken clouds
Saskylakh,71.92,114.08,3.72,93,97,5.82,RU,2020-10-26 20:28:12,overcast clouds
New Norfolk,-42.78,147.06,50.0,64,100,1.52,AU,2020-10-26 20:28:12,overcast clouds
Rio Grande,-32.03,-52.1,69.01,96,100,21.3,BR,2020-10-26 20:26:55,heavy intensity rain
Chapleau,47.84,-83.4,26.6,79,90,3.36,CA,2020-10-26 20:28:13,overcast clouds
Ayan,56.45,138.17,32.59,76,1,3.56,RU,2020-10-26 20:28:13,clear sky
Merauke,-8.47,140.33,77.38,88,99,10.25,ID,2020-10-26 20:28:13,overcast clouds
Champasak,14.75,106.0,70.59,99,100,1.14,LA,2020-10-26 20:28:13,light rain
Saint-Philippe,-21.36,55.77,71.6,78,90,5.82,RE,2020-10-26 20:28:14,overcast clouds
Carutapera,-1.2,-46.02,83.77,69,92,8.48,BR,2020-10-26 20:28:14,moderate rain
Cape Town,-33.93,18.42,66.99,82,0,6.93,ZA,2020-10-26 20:23:23,clear sky
Lewisporte,49.25,-55.05,39.99,48,75,6.93,CA,2020-10-26 20:28:14,broken clouds
Cabo San Lucas,22.89,-109.91,91.4,54,5,16.11,MX,2020-10-26 20:23:47,clear sky
Lata,40.16,-8.33,54.0,85,94,1.66,PT,2020-10-26 20:28:15,overcast clouds
Chiredzi,-21.05,31.67,78.19,39,0,7.29,ZW,2020-10-26 20:28:15,clear sky
Mar Del Plata,-38.0,-57.56,62.6,48,0,10.29,AR,2020-10-26 20:23:31,clear sky
Pamplona,42.82,-1.64,46.99,81,0,2.24,ES,2020-10-26 20:24:53,clear sky
Butaritari,3.07,172.79,81.43,65,100,6.31,KI,2020-10-26 20:28:16,overcast clouds
Jumla,29.27,82.18,41.83,58,0,4.59,NP,2020-10-26 20:28:17,clear sky
Bitung,1.45,125.18,73.4,94,20,2.24,ID,2020-10-26 20:25:53,few clouds
Hofn,64.25,-15.21,37.4,59,0,16.11,IS,2020-10-26 20:28:17,clear sky
Axim,4.87,-2.24,78.46,86,100,6.33,GH,2020-10-26 20:28:18,moderate rain
Mangai,-4.05,19.53,70.16,94,100,1.48,CD,2020-10-26 20:28:18,overcast clouds
Sinnamary,5.38,-52.95,83.93,72,2,9.64,GF,2020-10-26 20:28:18,clear sky
Tibiri,13.56,7.05,85.1,15,68,7.29,NE,2020-10-26 20:28:19,broken clouds
Lorengau,-2.02,147.27,79.92,77,100,3.89,PG,2020-10-26 20:28:19,moderate rain
Nikolskoye,59.7,30.79,48.2,81,90,4.47,RU,2020-10-26 20:28:19,light rain
Baruun-Urt,46.68,113.28,22.05,79,0,6.33,MN,2020-10-26 20:28:19,clear sky
Sola,-13.88,167.55,79.34,83,92,19.77,VU,2020-10-26 20:28:20,overcast clouds
Isangel,-19.55,169.27,75.88,74,18,10.58,VU,2020-10-26 20:28:20,few clouds
Kulhudhuffushi,6.62,73.07,82.35,75,50,6.82,MV,2020-10-26 20:28:20,scattered clouds
Daru,-9.08,143.21,77.63,87,62,6.89,PG,2020-10-26 20:28:21,broken clouds
Dingle,11.0,122.67,75.7,92,100,5.91,PH,2020-10-26 20:28:21,light rain
Bredasdorp,-34.53,20.04,64.4,82,100,14.99,ZA,2020-10-26 20:28:21,overcast clouds
Vavoua,7.38,-6.48,77.59,72,97,1.88,CI,2020-10-26 20:28:22,overcast clouds
Narsaq,60.92,-46.05,42.8,30,75,14.99,GL,2020-10-26 20:28:22,broken clouds
Sigli,5.38,95.96,78.24,75,91,5.66,ID,2020-10-26 20:28:22,overcast clouds
Iquique,-20.22,-70.14,64.4,68,90,11.41,CL,2020-10-26 20:28:23,overcast clouds
Richards Bay,-28.78,32.04,67.93,81,100,7.58,ZA,2020-10-26 20:28:23,light rain
Yoichi,43.2,140.77,41.0,100,70,3.0,JP,2020-10-26 20:28:23,broken clouds
Avarua,-21.21,-159.78,75.2,73,100,14.99,CK,2020-10-26 20:28:23,overcast clouds
Hamilton,39.18,-84.53,50.0,81,90,5.82,US,2020-10-26 20:28:24,overcast clouds
Ishigaki,24.34,124.16,77.0,72,99,16.98,JP,2020-10-26 20:28:24,overcast clouds
Barahona,18.21,-71.1,87.8,79,40,13.87,DO,2020-10-26 20:28:24,scattered clouds
Taoudenni,22.68,-3.98,89.96,17,9,10.76,ML,2020-10-26 20:28:24,clear sky
Tiksi,71.69,128.87,6.13,93,99,8.01,RU,2020-10-26 20:28:25,overcast clouds
Hualmay,-11.1,-77.61,69.13,69,97,9.53,PE,2020-10-26 20:28:25,overcast clouds
Hermanus,-34.42,19.23,64.0,84,92,4.0,ZA,2020-10-26 20:28:25,overcast clouds
East London,-33.02,27.91,65.86,85,99,20.42,ZA,2020-10-26 20:28:25,light rain
Marshall,34.38,-86.33,75.0,64,75,2.17,US,2020-10-26 20:24:59,broken clouds
Matagami,49.75,-77.63,24.8,92,90,11.41,CA,2020-10-26 20:28:26,light snow
Mount Gambier,-37.83,140.77,46.4,87,99,10.29,AU,2020-10-26 20:28:26,overcast clouds
Port-Gentil,-0.72,8.78,78.8,88,75,9.17,GA,2020-10-26 20:28:27,thunderstorm
Banjar,-8.19,114.97,78.8,88,20,2.24,ID,2020-10-26 20:28:27,few clouds
Severo-Kurilsk,50.68,156.12,43.21,84,95,3.31,RU,2020-10-26 20:28:27,overcast clouds
Coquimbo,-29.95,-71.34,62.6,67,0,12.75,CL,2020-10-26 20:28:28,clear sky
Nanortalik,60.14,-45.24,34.83,87,100,10.83,GL,2020-10-26 20:28:28,overcast clouds
Tokur,53.13,132.9,24.58,87,100,3.06,RU,2020-10-26 20:28:28,overcast clouds
Leua,48.22,18.61,60.01,81,100,5.01,SK,2020-10-26 20:28:29,overcast clouds
Elko,41.0,-115.5,45.0,28,8,3.0,US,2020-10-26 20:28:29,clear sky
Custoias,41.11,-7.32,48.99,8,65,5.32,PT,2020-10-26 20:28:30,broken clouds
Kamenka,51.32,42.77,44.13,77,40,6.02,RU,2020-10-26 20:28:30,scattered clouds
Ribeira Grande,38.52,-28.7,69.8,88,75,18.34,PT,2020-10-26 20:28:30,broken clouds
Khatanga,71.97,102.5,2.61,94,83,9.51,RU,2020-10-26 20:28:31,broken clouds
Pingzhuang,42.04,119.29,39.67,63,0,10.56,CN,2020-10-26 20:28:31,clear sky
Vardo,70.37,31.11,35.6,93,75,21.92,NO,2020-10-26 20:28:31,broken clouds
Ituporanga,-27.41,-49.6,79.0,72,100,1.01,BR,2020-10-26 20:28:31,overcast clouds
Cap-Haitien,19.76,-72.2,87.8,66,40,10.29,HT,2020-10-26 20:28:32,scattered clouds
Margate,51.38,1.39,51.01,66,99,3.0,GB,2020-10-26 20:28:32,light rain
Semme,46.2,1.5,46.99,100,1,8.05,FR,2020-10-26 20:28:32,clear sky
Paamiut,61.99,-49.67,32.67,90,100,32.1,GL,2020-10-26 20:26:00,overcast clouds
Vilyuysk,63.76,121.62,8.98,93,100,6.55,RU,2020-10-26 20:28:33,overcast clouds
Khor,47.89,134.95,35.24,91,2,4.25,RU,2020-10-26 20:28:33,clear sky
Ballina,-28.87,153.57,68.0,77,90,11.41,AU,2020-10-26 20:28:34,overcast clouds
Marica,-22.92,-42.82,77.0,83,40,12.75,BR,2020-10-26 20:24:22,scattered clouds
Zhigansk,66.77,123.37,-0.94,92,100,12.19,RU,2020-10-26 20:28:34,overcast clouds
Tuatapere,-46.13,167.68,52.0,86,99,2.8,NZ,2020-10-26 20:28:35,overcast clouds
Havre-Saint-Pierre,50.23,-63.6,33.8,64,90,8.05,CA,2020-10-26 20:28:35,light rain
Aklavik,68.22,-135.01,12.2,85,75,6.93,CA,2020-10-26 20:28:35,broken clouds
Katobu,-4.94,122.53,75.29,88,100,3.18,ID,2020-10-26 20:28:35,overcast clouds
Northam,51.03,-4.22,51.01,83,32,5.01,GB,2020-10-26 20:28:36,light rain
Douglas,41.3,-96.17,32.0,87,1,5.82,US,2020-10-26 20:23:49,clear sky
Sao Filipe,14.9,-24.5,81.37,73,100,8.84,CV,2020-10-26 20:28:36,overcast clouds
Srednekolymsk,67.45,153.68,6.4,91,0,7.07,RU,2020-10-26 20:28:37,clear sky
Peniche,39.36,-9.38,55.99,82,100,7.02,PT,2020-10-26 20:28:37,overcast clouds
Toora-Khem,52.47,96.11,25.7,86,100,1.66,RU,2020-10-26 20:28:37,overcast clouds
Lakes Entrance,-37.88,147.98,52.0,97,96,10.65,AU,2020-10-26 20:28:37,light rain
San Vicente,-26.62,-54.13,69.3,94,67,6.15,AR,2020-10-26 20:28:37,light rain
Tha Chang,9.26,99.19,75.34,90,87,6.11,TH,2020-10-26 20:28:38,overcast clouds
Broken Hill,-31.95,141.43,50.0,93,75,4.7,AU,2020-10-26 20:28:38,broken clouds
Hobart,-42.88,147.33,51.8,53,75,4.7,AU,2020-10-26 20:24:38,broken clouds
Pangai,-19.8,-174.35,78.8,78,20,13.87,TO,2020-10-26 20:28:39,few clouds
Te Anau,-45.42,167.72,47.91,67,64,3.85,NZ,2020-10-26 20:28:39,broken clouds
Mayachnyy,52.68,55.69,30.15,92,82,19.1,RU,2020-10-26 20:28:40,broken clouds
Sucre,-19.03,-65.26,60.8,63,75,17.22,BO,2020-10-26 20:28:40,broken clouds
Puerto Lopez,4.08,-72.96,89.76,56,17,6.82,CO,2020-10-26 20:28:40,few clouds
Belyy Yar,53.6,91.39,39.2,93,40,8.95,RU,2020-10-26 20:28:40,light intensity shower rain
Vaini,-21.2,-175.2,73.4,88,40,10.29,TO,2020-10-26 20:28:41,scattered clouds
Rapid City,44.08,-103.23,21.99,52,1,5.82,US,2020-10-26 20:28:41,clear sky
Shelburne,44.08,-80.2,46.0,70,75,9.17,CA,2020-10-26 20:25:41,broken clouds
Aba,5.11,7.37,77.0,94,75,3.36,NG,2020-10-26 20:28:41,thunderstorm with light rain
Aykhal,66.0,111.5,-7.6,91,0,2.24,RU,2020-10-26 20:28:42,clear sky
Geraldton,-28.77,114.6,57.2,87,90,4.7,AU,2020-10-26 20:28:42,overcast clouds
Caucaia,-3.74,-38.65,82.4,74,20,10.29,BR,2020-10-26 20:28:42,few clouds
Catamarca,-28.47,-65.79,84.99,36,0,8.99,AR,2020-10-26 20:28:43,clear sky
High Level,58.52,-117.14,28.4,54,90,2.24,CA,2020-10-26 20:28:43,overcast clouds
Beidao,34.57,105.89,48.58,67,100,5.17,CN,2020-10-26 20:28:43,light rain
Lardos,36.09,28.02,71.6,73,20,3.36,GR,2020-10-26 20:28:44,few clouds
Tabas,33.6,56.92,60.8,23,0,4.7,IR,2020-10-26 20:28:44,clear sky
Kabinda,-6.13,24.48,70.09,95,100,1.14,CD,2020-10-26 20:28:45,heavy intensity rain
Prince Rupert,54.32,-130.32,50.0,93,90,16.11,CA,2020-10-26 20:25:08,mist
Clinton,42.59,-82.92,48.0,75,90,9.17,US,2020-10-26 20:26:42,overcast clouds
Aras,42.56,-2.36,51.01,81,75,2.66,ES,2020-10-26 20:28:48,broken clouds
Jasper,37.2,-94.35,33.8,86,90,12.75,US,2020-10-26 20:28:48,moderate rain
Samarai,-10.62,150.67,81.25,83,100,9.6,PG,2020-10-26 20:28:48,moderate rain
Kismayo,-0.36,42.55,79.86,83,83,14.05,SO,2020-10-26 20:28:49,broken clouds
Port Stanley,-51.7,-57.85,53.6,62,75,18.34,FK,2020-10-26 20:24:40,broken clouds
Airai,-8.93,125.41,60.85,100,80,1.74,TL,2020-10-26 20:28:49,broken clouds
Kenora,49.82,-94.43,26.6,49,75,12.75,CA,2020-10-26 20:28:50,broken clouds
Gat,31.61,34.76,73.99,100,0,1.01,IL,2020-10-26 20:28:50,clear sky
Saint Anthony,45.02,-93.22,32.0,46,75,6.93,US,2020-10-26 20:28:50,broken clouds
Ferrol,43.48,-8.24,53.6,81,20,9.17,ES,2020-10-26 20:28:51,few clouds
Dodge City,37.75,-100.02,23.0,79,90,16.11,US,2020-10-26 20:28:51,overcast clouds
Portland,45.52,-122.68,52.0,49,20,4.7,US,2020-10-26 20:27:32,few clouds
Barcelos,41.54,-8.62,53.6,100,75,3.36,PT,2020-10-26 20:27:09,broken clouds
Hervey Bay,-25.3,152.85,75.0,92,95,3.0,AU,2020-10-26 20:28:51,light rain
Ucluelet,48.93,-125.55,46.99,81,90,5.82,CA,2020-10-26 20:24:44,overcast clouds
Suhbaatar,50.23,106.21,25.88,82,0,0.89,MN,2020-10-26 20:28:52,clear sky
Virginia Beach,36.85,-75.98,64.99,88,90,8.05,US,2020-10-26 20:28:52,mist
Amurzet,47.7,131.1,36.82,82,100,4.9,RU,2020-10-26 20:28:52,overcast clouds
That Phanom,16.94,104.71,69.1,95,83,3.24,TH,2020-10-26 20:28:52,broken clouds
Otane,-39.88,176.63,60.01,90,69,1.86,NZ,2020-10-26 20:28:53,broken clouds
Tolaga Bay,-38.37,178.3,65.91,65,36,0.85,NZ,2020-10-26 20:28:53,scattered clouds
Bay Roberts,47.6,-53.26,37.99,64,31,3.0,CA,2020-10-26 20:28:53,scattered clouds
Cusuna,15.85,-85.23,82.02,64,100,1.19,HN,2020-10-26 20:28:53,overcast clouds
Oktyabrskiy,54.48,53.47,29.8,92,91,15.14,RU,2020-10-26 20:28:54,overcast clouds
Constitucion,-35.33,-72.42,58.73,58,28,17.87,CL,2020-10-26 20:28:54,scattered clouds
Puerto Carreno,6.19,-67.49,89.85,62,89,6.89,CO,2020-10-26 20:28:20,light rain
Saint-Joseph,-21.37,55.62,71.6,78,90,5.82,RE,2020-10-26 20:28:54,overcast clouds
Port-Cartier,50.03,-66.87,32.0,100,90,8.05,CA,2020-10-26 20:26:58,overcast clouds
Udachnyy,66.42,112.4,-7.6,91,0,2.24,RU,2020-10-26 20:24:07,clear sky
Fortuna,40.6,-124.16,72.0,22,1,8.05,US,2020-10-26 20:28:55,clear sky
Los Llanos De Aridane,28.66,-17.92,71.6,60,40,8.05,ES,2020-10-26 20:28:55,scattered clouds
Pontianak,-0.03,109.33,75.56,90,100,3.94,ID,2020-10-26 20:28:55,moderate rain
